,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__min_samples_leaf,param_rf__min_samples_split,params,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_f1-score,split1_test_f1-score,split2_test_f1-score,mean_test_f1-score,std_test_f1-score,rank_test_f1-score,split0_test_AUPRC,split1_test_AUPRC,split2_test_AUPRC,mean_test_AUPRC,std_test_AUPRC,rank_test_AUPRC
10,11.827194849650065,1.7843949888552042,0.24124463399251303,0.0033227135076291927,5,10,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10}",0.6498282252356326,0.6519575557282937,0.6568328389544007,0.652872873306109,0.002931951345490115,10,0.5409836065573771,0.71875,0.5084745762711864,0.5894027276095212,0.09242022476593768,8,0.0300820419325433,0.020966271649954422,0.027347310847766638,0.02613187481008812,0.003819448523238084,9,0.05699481865284974,0.04074402125775022,0.05190311418685121,0.04988065136581706,0.006786745459152587,9,0.4835842380628558,0.47031042682324387,0.48538596346670987,0.4797602094509365,0.0067223680049371725,9
11,9.079257806142172,0.19433410461658213,0.23456573486328125,0.0017295200017037533,5,20,"{'rf__min_samples_leaf': 5, 'rf__min_samples_split': 20}",0.6543596068036861,0.6602152567057338,0.6550099281148062,0.656528263874742,0.002620580922081043,9,0.5333333333333333,0.6451612903225806,0.5636363636363636,0.5807103290974259,0.04722296908300307,14,0.02187784867821331,0.018231540565177756,0.028258887876025523,0.0227894257064722,0.0041440843807310414,12,0.04203152364273205,0.03546099290780142,0.05381944444444445,0.04377065366499264,0.007595025373298137,16,0.4406861876061958,0.4459470070969682,0.4600341247060109,0.44888910646972496,0.008168134386912024,12
12,7.605556646982829,0.06484627030746731,0.25463223457336426,0.020010875367510863,10,2,"{'rf__min_samples_leaf': 10, 'rf__min_samples_split': 2}",0.6563111451415911,0.6719339345007097,0.6556425353321225,0.6612958716581411,0.007527197156585308,5,0.66,0.7222222222222222,0.6041666666666666,0.6621296296296296,0.048219498415421565,1,0.0300820419325433,0.011850501367365542,0.02643573381950775,0.0227894257064722,0.007876925795694757,12,0.05754141238012206,0.023318385650224215,0.05065502183406114,0.043838273288135804,0.014779601600237334,12,0.46850958631606243,0.41181630529103264,0.4366295612892904,0.4389851509654618,0.023204793044938152,13
13,9.570529381434122,1.2537118911561378,0.2380689779917399,0.0068745644803859494,10,5,"{'rf__min_samples_leaf': 10, 'rf__min_samples_split': 5}",0.6563111451415911,0.6719339345007097,0.6556425353321225,0.6612958716581411,0.007527197156585308,5,0.66,0.7222222222222222,0.6041666666666666,0.6621296296296296,0.048219498415421565,1,0.0300820419325433,0.011850501367365542,0.02643573381950775,0.0227894257064722,0.007876925795694757,12,0.05754141238012206,0.023318385650224215,0.05065502183406114,0.043838273288135804,0.014779601600237334,12,0.4685095863160623,0.4118163052910326,0.4366295612892905,0.4389851509654618,0.023204793044938124,13
14,11.610385656356812,1.259285939389465,0.2378410498301188,0.0016453616787232889,10,10,"{'rf__min_samples_leaf': 10, 'rf__min_samples_split': 10}",0.6563111451415911,0.6719339345007097,0.6556425353321225,0.6612958716581411,0.007527197156585308,5,0.66,0.7222222222222222,0.6041666666666666,0.6621296296296296,0.048219498415421565,1,0.0300820419325433,0.011850501367365542,0.02643573381950775,0.0227894257064722,0.007876925795694757,12,0.05754141238012206,0.023318385650224215,0.05065502183406114,0.043838273288135804,0.014779601600237334,12,0.46850958631606243,0.41181630529103264,0.4366295612892904,0.4389851509654618,0.023204793044938152,13
15,13.711724996566772,0.13114613414455897,0.24391897519429526,0.0018797791926835393,10,20,"{'rf__min_samples_leaf': 10, 'rf__min_samples_split': 20}",0.6563111451415911,0.6719339345007097,0.6556425353321225,0.6612958716581411,0.007527197156585308,5,0.66,0.7222222222222222,0.6041666666666666,0.6621296296296296,0.048219498415421565,1,0.0300820419325433,0.011850501367365542,0.02643573381950775,0.0227894257064722,0.007876925795694757,12,0.05754141238012206,0.023318385650224215,0.05065502183406114,0.043838273288135804,0.014779601600237334,12,0.46850958631606243,0.4118163052910326,0.4366295612892904,0.4389851509654618,0.02320479304493817,13
16,10.332023700078329,0.2811015248500855,0.23898212114969888,0.0014894596858023412,20,2,"{'rf__min_samples_leaf': 20, 'rf__min_samples_split': 2}",0.6620322696809091,0.6705334914567624,0.6640026306342416,0.6655227972573043,0.0036332605046492618,1,0.5319148936170213,0.5714285714285714,0.5777777777777777,0.5603737476077901,0.02028969990195561,17,0.022789425706472195,0.007292616226071103,0.023701002734731084,0.017927681555758124,0.007529329500676917,17,0.043706293706293704,0.0144014401440144,0.04553415061295971,0.03454729482108927,0.014264801919881357,17,0.389910405271833,0.40849875551641546,0.3942231482573643,0.39754410301520426,0.007943687077654048,17
17,8.141519705454508,1.4116730118885343,0.2360070546468099,0.0015963426820412832,20,5,"{'rf__min_samples_leaf': 20, 'rf__min_samples_split': 5}",0.6620322696809091,0.6705334914567624,0.6640026306342416,0.6655227972573043,0.0036332605046492618,1,0.5319148936170213,0.5714285714285714,0.5777777777777777,0.5603737476077901,0.02028969990195561,17,0.022789425706472195,0.007292616226071103,0.023701002734731084,0.017927681555758124,0.007529329500676917,17,0.043706293706293704,0.0144014401440144,0.04553415061295971,0.03454729482108927,0.014264801919881357,17,0.38991040527183296,0.4084987555164155,0.3942231482573644,0.39754410301520426,0.007943687077654082,17
18,7.060075998306274,0.1690813169698575,0.23539272944132486,0.0029174473785110685,20,10,"{'rf__min_samples_leaf': 20, 'rf__min_samples_split': 10}",0.6620322696809091,0.6705334914567624,0.6640026306342416,0.6655227972573043,0.0036332605046492618,1,0.5319148936170213,0.5714285714285714,0.5777777777777777,0.5603737476077901,0.02028969990195561,17,0.022789425706472195,0.007292616226071103,0.023701002734731084,0.017927681555758124,0.007529329500676917,17,0.043706293706293704,0.0144014401440144,0.04553415061295971,0.03454729482108927,0.014264801919881357,17,0.389910405271833,0.40849875551641546,0.3942231482573644,0.39754410301520426,0.00794368707765404,17
19,6.89705228805542,0.16270781152303704,0.23783365885416666,0.005882815268363397,20,20,"{'rf__min_samples_leaf': 20, 'rf__min_samples_split': 20}",0.6620322696809091,0.6705334914567624,0.6640026306342416,0.6655227972573043,0.0036332605046492618,1,0.5319148936170213,0.5714285714285714,0.5777777777777777,0.5603737476077901,0.02028969990195561,17,0.022789425706472195,0.007292616226071103,0.023701002734731084,0.017927681555758124,0.007529329500676917,17,0.043706293706293704,0.0144014401440144,0.04553415061295971,0.03454729482108927,0.014264801919881357,17,0.389910405271833,0.40849875551641546,0.3942231482573644,0.39754410301520426,0.00794368707765404,17
