,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_pca__apply_PCA,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,0.08514634768168132,0.004656473997673133,0.009551048278808594,0.0025351044115121133,0.001,balanced,False,0.9,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
22,0.08776148160298665,0.009587419950220173,0.010841925938924154,0.005550017207939624,0.001,balanced,False,0.95,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
23,0.09340310096740723,0.0037846376752149694,0.0071112314860026045,0.0014186039068267789,0.001,balanced,False,,"{'lr__C': 0.001, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': None}",0.6625115223676785,0.6688450795757129,0.6531206190551705,0.6614924069995207,0.006459804525718309,121
24,0.2970112959543864,0.009422949558320112,0.016767342885335285,0.0022423558791260624,0.014677992676220698,,True,0.5,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
25,0.2887569268544515,0.016660532263387286,0.015413443247477213,0.0015895765855771583,0.014677992676220698,,True,0.7,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
26,0.3014066219329834,0.022038241369105913,0.021310885747273762,0.008770370810257687,0.014677992676220698,,True,0.8,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
27,0.28787438074747723,0.01758792249224981,0.01543132464090983,0.002324851552880352,0.014677992676220698,,True,0.9,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
28,0.29214032491048175,0.02115802280852139,0.017150004704793293,0.0024400209829145425,0.014677992676220698,,True,0.95,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
29,0.31293535232543945,0.024962764018564343,0.017465591430664062,0.0007257734893834335,0.014677992676220698,,True,,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': None}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
30,0.17935029665629068,0.011158019943299931,0.009450594584147135,0.0005096621693976207,0.014677992676220698,,False,0.5,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
31,0.1864910920461019,0.015505982992290765,0.007256269454956055,0.0005517351070477969,0.014677992676220698,,False,0.7,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
32,0.17213066418965658,0.01344974158956609,0.0071497758229573565,0.0008508694760089309,0.014677992676220698,,False,0.8,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
33,0.1917283535003662,0.03180000954282117,0.0073193709055582685,0.001233054244231155,0.014677992676220698,,False,0.9,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
34,0.20138971010843912,0.031539684515633964,0.007203340530395508,0.0004446875298676776,0.014677992676220698,,False,0.95,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
35,0.17116363843282065,0.013959260891909443,0.008882681528727213,0.00211429780858101,0.014677992676220698,,False,,"{'lr__C': 0.014677992676220698, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': None}",0.6615778185030441,0.6641446693174069,0.650392698044244,0.6587050619548983,0.005970411829076215,157
36,0.33189908663431805,0.009637860515910545,0.018613894780476887,0.004952270894277483,0.014677992676220698,balanced,True,0.5,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
37,0.3142603238423665,0.008869219920691939,0.018108050028483074,0.0032457460260402354,0.014677992676220698,balanced,True,0.7,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
38,0.3203028043111165,0.01693989116561013,0.014569282531738281,0.0005096365784574018,0.014677992676220698,balanced,True,0.8,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
39,0.3718131383260091,0.026914918012413892,0.019047339757283527,0.003293875704709528,0.014677992676220698,balanced,True,0.9,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
40,0.38472461700439453,0.0318671039246408,0.019440333048502605,0.0015763420105446451,0.014677992676220698,balanced,True,0.95,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
41,0.36548693974812824,0.014627190769912621,0.020811001459757488,0.006542120270467962,0.014677992676220698,balanced,True,,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True, 'pca__n_components': None}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
42,0.2192363739013672,0.012851090755795519,0.011655569076538086,0.0024389103412987183,0.014677992676220698,balanced,False,0.5,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
43,0.22951157887776694,0.015726357102566788,0.012209415435791016,0.0021141186167906445,0.014677992676220698,balanced,False,0.7,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
44,0.20900567372639975,0.01301178789277203,0.006607850392659505,0.0011538146921243138,0.014677992676220698,balanced,False,0.8,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
45,0.21432367960611978,0.029011221277397373,0.008242289225260416,0.0011847974436066458,0.014677992676220698,balanced,False,0.9,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
46,0.1985593636830648,0.02412459545893945,0.008204221725463867,0.0003596792198299047,0.014677992676220698,balanced,False,0.95,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
47,0.28228410085042316,0.06241052029432174,0.010762373606363932,0.00040726863938395254,0.014677992676220698,balanced,False,,"{'lr__C': 0.014677992676220698, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False, 'pca__n_components': None}",0.6620344580493419,0.6668205419067623,0.6522467406500119,0.6603672468687054,0.006065399992770188,145
48,0.8503757317860922,0.16268281051364217,0.01806330680847168,0.0012705164941329119,0.21544346900318845,,True,0.5,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.5}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
49,0.6764977773030599,0.07174751503995741,0.018523613611857098,0.0012291959640758348,0.21544346900318845,,True,0.7,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.7}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
50,0.6650315125783285,0.11680374960141539,0.01739613215128581,0.0013843393331271442,0.21544346900318845,,True,0.8,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.8}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
51,0.57115372021993,0.023927424738995444,0.016834259033203125,0.00027591344807813094,0.21544346900318845,,True,0.9,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.9}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
52,0.5798032283782959,0.02284852498469714,0.02007301648457845,0.0025010628685259648,0.21544346900318845,,True,0.95,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': 0.95}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
53,0.7945153713226318,0.1110658928943109,0.025861581166585285,0.011032505119932957,0.21544346900318845,,True,,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': True, 'pca__n_components': None}",0.6639969382294105,0.6680755412306193,0.6522477135177047,0.6614400643259115,0.0067098552217973815,133
54,0.6669199466705322,0.027177898677228356,0.012748082478841146,0.004000430126501695,0.21544346900318845,,False,0.5,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.5}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
55,0.6788131395975748,0.08484018374855178,0.010843674341837565,0.0028146590645445157,0.21544346900318845,,False,0.7,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.7}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
56,0.44257299105326336,0.03566187780115771,0.009013891220092773,0.00017581307834431723,0.21544346900318845,,False,0.8,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.8}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
57,0.4152537186940511,0.015631401368115215,0.009275039037068685,0.00041498716876197246,0.21544346900318845,,False,0.9,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.9}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
58,0.41206836700439453,0.020801666667546938,0.009213765462239584,0.00038621598901250137,0.21544346900318845,,False,0.95,"{'lr__C': 0.21544346900318845, 'lr__class_weight': None, 'pca__apply_PCA': False, 'pca__n_components': 0.95}",0.663985996387247,0.6680825945213928,0.652233120502311,0.6614339038036503,0.0067174568147389865,139
