,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__apply_PCA,param_pca__n_components,param_rf__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
23,6.210297584533691,0.09118457123066838,0.1263430118560791,0.006180111010998701,True,,30,"{'pca__apply_PCA': True, 'pca__n_components': None, 'rf__max_depth': 30}",0.6655866663197697,0.6546325770584178,0.6621543036261699,0.6607911823347858,0.004574683422757953,40
24,5.523499886194865,0.17096209850893132,0.11195842425028484,0.0021028363725135073,False,0.5,,"{'pca__apply_PCA': False, 'pca__n_components': 0.5, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
25,4.186464786529541,0.07490465393789346,0.10959800084431966,0.0013855865015527326,False,0.5,10,"{'pca__apply_PCA': False, 'pca__n_components': 0.5, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
26,5.600640376408895,0.018052343954646756,0.11212468147277832,0.0017571351043723326,False,0.5,20,"{'pca__apply_PCA': False, 'pca__n_components': 0.5, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
27,5.958353360493978,0.08648819772347051,0.11073931058247884,0.0006488387280639992,False,0.5,30,"{'pca__apply_PCA': False, 'pca__n_components': 0.5, 'rf__max_depth': 30}",0.6749132494280455,0.6820976048970268,0.6647254713300755,0.673912108551716,0.007127387013377428,10
28,6.367794195810954,0.14490849609171486,0.11767935752868652,0.007560643632934154,False,0.7,,"{'pca__apply_PCA': False, 'pca__n_components': 0.7, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
29,4.877443790435791,0.117898183311882,0.13007831573486328,0.02602902100905111,False,0.7,10,"{'pca__apply_PCA': False, 'pca__n_components': 0.7, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
30,6.459184726079305,0.09995665233427378,0.11313358942667644,0.0038775874283701016,False,0.7,20,"{'pca__apply_PCA': False, 'pca__n_components': 0.7, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
31,5.458501259485881,0.6263366590185211,0.11563460032145183,0.006179602484649364,False,0.7,30,"{'pca__apply_PCA': False, 'pca__n_components': 0.7, 'rf__max_depth': 30}",0.6749132494280455,0.6820977265054884,0.6647254713300755,0.6739121490878698,0.007127433567478999,8
32,5.014228979746501,0.07292571604688158,0.11067438125610352,0.0005267287875755871,False,0.9,,"{'pca__apply_PCA': False, 'pca__n_components': 0.9, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
33,3.881654898325602,0.012343396916340127,0.11093608538309734,0.001086980543459443,False,0.9,10,"{'pca__apply_PCA': False, 'pca__n_components': 0.9, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
34,4.899380286534627,0.06302786056804899,0.11110599835713704,0.0024428737001226043,False,0.9,20,"{'pca__apply_PCA': False, 'pca__n_components': 0.9, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
35,5.039896567662557,0.05960081483753804,0.11054539680480957,0.0006829935384759127,False,0.9,30,"{'pca__apply_PCA': False, 'pca__n_components': 0.9, 'rf__max_depth': 30}",0.6749132494280455,0.6820980913308734,0.6647254713300755,0.6739122706963315,0.007127573230725794,7
36,5.1166659990946455,0.0255235462537871,0.11010138193766277,0.001325234601650565,False,0.95,,"{'pca__apply_PCA': False, 'pca__n_components': 0.95, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
37,4.035303036371867,0.06615573341165887,0.10978094736735027,0.0002825546406634507,False,0.95,10,"{'pca__apply_PCA': False, 'pca__n_components': 0.95, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
38,4.845241943995158,0.05205219095346728,0.11404800415039062,0.0033734887200892426,False,0.95,20,"{'pca__apply_PCA': False, 'pca__n_components': 0.95, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
39,4.97544805208842,0.07361096143233196,0.11629327138264973,0.007726420153747867,False,0.95,30,"{'pca__apply_PCA': False, 'pca__n_components': 0.95, 'rf__max_depth': 30}",0.6749132494280455,0.6820976048970268,0.6647254713300755,0.673912108551716,0.007127387013377428,10
40,5.039953390757243,0.171143053052502,0.11230651537577312,0.002193770180955925,False,0.99,,"{'pca__apply_PCA': False, 'pca__n_components': 0.99, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
41,3.800671100616455,0.08288864899202485,0.11599357922871907,0.007551703486243834,False,0.99,10,"{'pca__apply_PCA': False, 'pca__n_components': 0.99, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
42,4.932760238647461,0.009470978378270052,0.11097105344136556,0.0011606720281140742,False,0.99,20,"{'pca__apply_PCA': False, 'pca__n_components': 0.99, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
43,5.032994031906128,0.041983753541111696,0.1125775973002116,0.0013263206531254172,False,0.99,30,"{'pca__apply_PCA': False, 'pca__n_components': 0.99, 'rf__max_depth': 30}",0.6749132494280455,0.6820977265054884,0.6647254713300755,0.6739121490878698,0.007127433567478999,8
44,5.094514926274617,0.11088675873635634,0.11295270919799805,0.0025043606107164355,False,,,"{'pca__apply_PCA': False, 'pca__n_components': None, 'rf__max_depth': None}",0.6731045629183887,0.6823641706448847,0.6641366431589404,0.673201792240738,0.007441674530129074,13
45,3.9262967904408774,0.03480069478107434,0.10945359865824382,0.00224373320439177,False,,10,"{'pca__apply_PCA': False, 'pca__n_components': None, 'rf__max_depth': 10}",0.6784209608736744,0.6846532067178459,0.6710106830601359,0.6780282835505521,0.005576454043438074,1
46,4.886841694513957,0.06716877083489978,0.11423611640930176,0.007448319834717556,False,,20,"{'pca__apply_PCA': False, 'pca__n_components': None, 'rf__max_depth': 20}",0.6748176906731495,0.6796417220147312,0.6613846436726145,0.6719480187868317,0.007724700207727073,25
47,3.5217319329579673,1.0925940196473625,0.10853370030721028,0.0022560295641432192,False,,30,"{'pca__apply_PCA': False, 'pca__n_components': None, 'rf__max_depth': 30}",0.6749132494280455,0.6820976048970268,0.6647254713300755,0.673912108551716,0.007127387013377428,10
