,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__class_weight,param_pca__apply_PCA,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,0.9476195971171061,0.06775191429515952,0.03255271911621094,0.02684769382491678,0.21544346900318845,balanced,True,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.658473253153135,0.6666471282405007,0.6492036105065819,0.6581079973000725,0.00712596831371155,18
11,1.9820849895477295,0.08791084152911487,0.0542301336924235,0.008064570824553393,0.21544346900318845,balanced,False,"{'lr__C': 0.21544346900318845, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.6645048828578535,0.6710145745309075,0.654526656088352,0.663348704492371,0.006780630499282378,5
12,0.8081030050913492,0.09454596675622186,0.07169596354166667,0.03365984987983036,3.1622776601683795,,True,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6576441046691758,0.665001036104093,0.6475429253547806,0.6567293553760164,0.007156534656559953,25
13,3.6393019358317056,0.2615240062527232,0.04711310068766276,0.008934038769588433,3.1622776601683795,,False,"{'lr__C': 3.1622776601683795, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6653751240379385,0.6697264977054915,0.6522963569023503,0.6624659928819268,0.007407191783057444,6
14,0.915703296661377,0.10072617230545897,0.04113173484802246,0.007677793901368823,3.1622776601683795,balanced,True,"{'lr__C': 3.1622776601683795, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.6584443180594132,0.6666116185697095,0.6491413469742356,0.6580657612011195,0.007137229919052453,19
15,4.5875608921051025,0.368436866983302,0.044883410135904946,0.031667382519775474,3.1622776601683795,balanced,False,"{'lr__C': 3.1622776601683795, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.665545816775692,0.6726202926580593,0.6545988915145508,0.6642550003161007,0.007413608214766367,1
16,1.1904220581054688,0.0802984977657089,0.06599752108256023,0.027991386512880547,46.41588833612782,,True,"{'lr__C': 46.41588833612782, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6576460498855605,0.6649986039348608,0.6475424389209341,0.6567290309137851,0.007155888814783075,26
17,4.570323467254639,0.8367022551833765,0.09245745340983073,0.06267571956831317,46.41588833612782,,False,"{'lr__C': 46.41588833612782, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6653264936283222,0.6696000249054129,0.6519176681528842,0.6622813955622064,0.007533078244432833,8
18,1.1646622021993,0.15799113598462214,0.11427426338195801,0.09070634142110724,46.41588833612782,balanced,True,"{'lr__C': 46.41588833612782, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.6584394550184516,0.6666099160512469,0.6491391580219266,0.6580628430305416,0.007137376921149815,22
19,4.233983993530273,0.5603465207763856,0.02581938107808431,0.013248574571665882,46.41588833612782,balanced,False,"{'lr__C': 46.41588833612782, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.665421079775026,0.6726981220734923,0.6542938974928227,0.664137699780447,0.007568098341582461,2
20,0.8153643608093262,0.03491494802578177,0.08265431722005208,0.032724721416114065,681.2920690579622,,True,"{'lr__C': 681.2920690579622, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6576467793417048,0.6649983607179375,0.6475402499686249,0.6567284633427557,0.007156763045737938,27
21,3.242643674214681,0.2646557546252148,0.03141967455546061,0.01677829758625385,681.2920690579622,,False,"{'lr__C': 681.2920690579622, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6653257641721779,0.669625805899275,0.6518933464605614,0.6622816388440048,0.007552485405331796,7
22,0.7851899464925131,0.03084204934709943,0.055750767389933266,0.035341442622894396,681.2920690579622,balanced,True,"{'lr__C': 681.2920690579622, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.658441157082788,0.6666091864004771,0.6491394012388498,0.658063248240705,0.007137014301888717,20
23,3.7026516596476235,0.2475055868141818,0.01916058858235677,0.018505743472662085,681.2920690579622,balanced,False,"{'lr__C': 681.2920690579622, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.6654383435704398,0.672663585270394,0.6542904924558974,0.6641308070989105,0.007557551349955067,3
24,0.8104898929595947,0.0499523164565569,0.053654750188191734,0.005549257771227599,10000.0,,True,"{'lr__C': 10000.0, 'lr__class_weight': None, 'pca__apply_PCA': True}",0.6576467793417048,0.6649981175010142,0.6475402499686249,0.656728382270448,0.007156669364072605,28
25,3.472019672393799,0.3113086753428314,0.03687691688537598,0.0028224410976473366,10000.0,,False,"{'lr__C': 10000.0, 'lr__class_weight': None, 'pca__apply_PCA': False}",0.6653401101430148,0.6695552729915389,0.6518631875620811,0.6622528568988783,0.007545454311742158,9
26,0.7842737038930258,0.012607206394077235,0.07697375615437825,0.012666771142411083,10000.0,balanced,True,"{'lr__C': 10000.0, 'lr__class_weight': 'balanced', 'pca__apply_PCA': True}",0.658441157082788,0.6666091864004771,0.6491391580219265,0.6580631671683972,0.007137115671771839,21
27,3.6937171618143716,0.19169064691805382,0.038297573725382485,0.02716061807911806,10000.0,balanced,False,"{'lr__C': 10000.0, 'lr__class_weight': 'balanced', 'pca__apply_PCA': False}",0.6654485559564592,0.6726536133765416,0.6542579013881848,0.6641200235737286,0.007568544712982201,4
